t-a-w@SaraHonor:/mnt/c/Users/t-a-w/source/repos/msa-sprint2/tasks/task3$ docker ps
CONTAINER ID   IMAGE                                 COMMAND                  CREATED          STATUS          PORTS                                                                                      NAMES
f93fd878eed5   task3-apollo-gateway                  "docker-entrypoint.s…"   28 minutes ago   Up 28 minutes   0.0.0.0:4000->4000/tcp, [::]:4000->4000/tcp                                                task3-apollo-gateway-1
0d9b64f7892b   task3-booking-subgraph                "docker-entrypoint.s…"   28 minutes ago   Up 28 minutes   0.0.0.0:4001->4001/tcp, [::]:4001->4001/tcp                                                task3-booking-subgraph-1
47df4aea03e8   task3-hotel-subgraph                  "docker-entrypoint.s…"   28 minutes ago   Up 28 minutes   0.0.0.0:4002->4002/tcp, [::]:4002->4002/tcp                                                task3-hotel-subgraph-1
eae4604b7ab3   task3-promocode-subgraph              "docker-entrypoint.s…"   28 minutes ago   Up 28 minutes   0.0.0.0:4003->4003/tcp, [::]:4003->4003/tcp                                                task3-promocode-subgraph-1
64f6fa7b70c7   msa-sprint2-booking-history-service   "dotnet Hotelio.Book…"   14 hours ago     Up 14 hours     0.0.0.0:8082->8080/tcp, [::]:8082->8080/tcp                                                booking-history-service
5496d7ca3b68   msa-sprint2-booking-service           "dotnet Hotelio.Book…"   14 hours ago     Up 14 hours     0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp, 0.0.0.0:8081->8080/tcp, [::]:8081->8080/tcp   booking-service
7f427b62401e   msa-sprint2-promocode-service         "dotnet Hotelio.Prom…"   14 hours ago     Up 14 hours     0.0.0.0:9091->9091/tcp, [::]:9091->9091/tcp, 0.0.0.0:8083->8080/tcp, [::]:8083->8080/tcp   promocode-service
25492a8d47fe   postgres:15                           "docker-entrypoint.s…"   14 hours ago     Up 14 hours     0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                                                hotelio-db
36d6830959c1   hotelio-monolith-monolith             "java -jar app.jar"      14 hours ago     Up 14 hours     0.0.0.0:8084->8080/tcp, [::]:8084->8080/tcp                                                hotelio-monolith
667b2c70d369   confluentinc/cp-zookeeper:7.2.1       "/etc/confluent/dock…"   14 hours ago     Up 14 hours     0.0.0.0:2181->2181/tcp, [::]:2181->2181/tcp                                                hotelio-monolith-zookeeper-1
acd7cee194d4   confluentinc/cp-kafka:7.2.1           "/etc/confluent/dock…"   14 hours ago     Up 14 hours     0.0.0.0:9092->9092/tcp, [::]:9092->9092/tcp                                                hotelio-monolith-kafka-1
4e074dc60db0   postgres:15-alpine                    "docker-entrypoint.s…"   5 days ago       Up 14 hours     0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp                                                booking-db
806d797130c3   postgres:15-alpine                    "docker-entrypoint.s…"   5 days ago       Up 14 hours     0.0.0.0:5435->5432/tcp, [::]:5435->5432/tcp                                                promocode-db
e8608898c0ba   postgres:15-alpine                    "docker-entrypoint.s…"   5 days ago       Up 14 hours     0.0.0.0:5434->5432/tcp, [::]:5434->5432/tcp                                                history-db
