CONTAINER ID   IMAGE                                             COMMAND                  CREATED             STATUS             PORTS                                                                                          NAMES
f19a18581258   task3-booking-subgraph                            "docker-entrypoint.s…"   About an hour ago   Up About an hour   0.0.0.0:4001->4001/tcp, [::]:4001->4001/tcp                                                    task3-booking-subgraph-1
f6df2ca86d25   task3-hotel-subgraph                              "docker-entrypoint.s…"   About an hour ago   Up About an hour   0.0.0.0:4002->4002/tcp, [::]:4002->4002/tcp                                                    task3-hotel-subgraph-1
b86f59c13645   task3-apollo-gateway                              "docker-entrypoint.s…"   25 hours ago        Up About an hour   0.0.0.0:4000->4000/tcp, [::]:4000->4000/tcp                                                    task3-apollo-gateway-1
a3c927b9d4d4   booking-history-service-booking_history_service   "fastapi run /app/so…"   2 days ago          Up 2 days          0.0.0.0:9091->8000/tcp, [::]:9091->8000/tcp                                                    booking_history_service
346205ffd65e   booking_service-booking_service                   "fastapi run /app/sr…"   6 days ago          Up 2 days          0.0.0.0:50051->50051/tcp, [::]:50051->50051/tcp, 0.0.0.0:9090->8000/tcp, [::]:9090->8000/tcp   hotelio_booking_service
d33d0ebd856d   postgres:15                                       "docker-entrypoint.s…"   9 days ago          Up 2 days          0.0.0.0:7432->5432/tcp, [::]:7432->5432/tcp                                                    booking_history_service_db
a226b2922167   postgres:15                                       "docker-entrypoint.s…"   10 days ago         Up 2 days          0.0.0.0:6432->5432/tcp, [::]:6432->5432/tcp                                                    booking_service_db
0bb7a120422e   postgres:15                                       "docker-entrypoint.s…"   2 weeks ago         Up 2 weeks         0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                                                    hotelio-db
bed64cd3cf23   confluentinc/cp-kafka:7.2.1                       "/etc/confluent/dock…"   2 weeks ago         Up 2 weeks         0.0.0.0:9092->9092/tcp, [::]:9092->9092/tcp                                                    task2-kafka-1
2d584e16260c   confluentinc/cp-zookeeper:7.2.1                   "/etc/confluent/dock…"   2 weeks ago         Up 2 weeks         2888/tcp, 0.0.0.0:2181->2181/tcp, [::]:2181->2181/tcp, 3888/tcp                                task2-zookeeper-1
e24bc9870053   task2-monolith                                    "java -jar app.jar"      2 weeks ago         Up 2 weeks         0.0.0.0:8084->8080/tcp, [::]:8084->8080/tcp                                                    hotelio-monolith
