(venv) vvolkovskiy@vvolkovskiy-ThinkPad-E15-Gen-3:~/src/msa-sprint2/tasks/task5$ bash check-canary.sh 8080
▶️ Checking canary release (90% v1, 10% v2)...
1: v1 ({"status":"ok","feature_x":"false"})
2: v1 ({"status":"ok","feature_x":"false"})
3: v1 ({"status":"ok","feature_x":"false"})
4: v1 ({"status":"ok","feature_x":"false"})
5: v1 ({"status":"ok","feature_x":"false"})
6: v1 ({"status":"ok","feature_x":"false"})
7: v1 ({"status":"ok","feature_x":"false"})
8: v1 ({"status":"ok","feature_x":"false"})
9: v1 ({"status":"ok","feature_x":"false"})
10: v1 ({"status":"ok","feature_x":"false"})
11: v2 ({"status":"ok","feature_x":"true"})
12: v1 ({"status":"ok","feature_x":"false"})
13: v1 ({"status":"ok","feature_x":"false"})
14: v1 ({"status":"ok","feature_x":"false"})
15: v1 ({"status":"ok","feature_x":"false"})
16: v1 ({"status":"ok","feature_x":"false"})
17: v1 ({"status":"ok","feature_x":"false"})
18: v1 ({"status":"ok","feature_x":"false"})
19: v1 ({"status":"ok","feature_x":"false"})
20: v1 ({"status":"ok","feature_x":"false"})
21: v1 ({"status":"ok","feature_x":"false"})
22: v1 ({"status":"ok","feature_x":"false"})
23: v2 ({"status":"ok","feature_x":"true"})
24: v1 ({"status":"ok","feature_x":"false"})
25: v1 ({"status":"ok","feature_x":"false"})
26: v1 ({"status":"ok","feature_x":"false"})
27: v2 ({"status":"ok","feature_x":"true"})
28: v1 ({"status":"ok","feature_x":"false"})
29: v1 ({"status":"ok","feature_x":"false"})
30: v1 ({"status":"ok","feature_x":"false"})
31: v2 ({"status":"ok","feature_x":"true"})
32: v2 ({"status":"ok","feature_x":"true"})
33: v1 ({"status":"ok","feature_x":"false"})
34: v1 ({"status":"ok","feature_x":"false"})
35: v1 ({"status":"ok","feature_x":"false"})
36: v1 ({"status":"ok","feature_x":"false"})
37: v1 ({"status":"ok","feature_x":"false"})
38: v1 ({"status":"ok","feature_x":"false"})
39: v1 ({"status":"ok","feature_x":"false"})
40: v1 ({"status":"ok","feature_x":"false"})
41: v1 ({"status":"ok","feature_x":"false"})
42: v1 ({"status":"ok","feature_x":"false"})
43: v1 ({"status":"ok","feature_x":"false"})
44: v1 ({"status":"ok","feature_x":"false"})
45: v1 ({"status":"ok","feature_x":"false"})
46: v1 ({"status":"ok","feature_x":"false"})
47: v1 ({"status":"ok","feature_x":"false"})
48: v1 ({"status":"ok","feature_x":"false"})
49: v1 ({"status":"ok","feature_x":"false"})
50: v1 ({"status":"ok","feature_x":"false"})
51: v1 ({"status":"ok","feature_x":"false"})
52: v1 ({"status":"ok","feature_x":"false"})
53: v2 ({"status":"ok","feature_x":"true"})
54: v1 ({"status":"ok","feature_x":"false"})
55: v1 ({"status":"ok","feature_x":"false"})
56: v1 ({"status":"ok","feature_x":"false"})
57: v1 ({"status":"ok","feature_x":"false"})
58: v2 ({"status":"ok","feature_x":"true"})
59: v1 ({"status":"ok","feature_x":"false"})
60: v1 ({"status":"ok","feature_x":"false"})
61: v1 ({"status":"ok","feature_x":"false"})
62: v1 ({"status":"ok","feature_x":"false"})
63: v1 ({"status":"ok","feature_x":"false"})
64: v1 ({"status":"ok","feature_x":"false"})
65: v1 ({"status":"ok","feature_x":"false"})
66: v2 ({"status":"ok","feature_x":"true"})
67: v1 ({"status":"ok","feature_x":"false"})
68: v1 ({"status":"ok","feature_x":"false"})
69: v1 ({"status":"ok","feature_x":"false"})
70: v1 ({"status":"ok","feature_x":"false"})
71: v1 ({"status":"ok","feature_x":"false"})
72: v1 ({"status":"ok","feature_x":"false"})
73: v1 ({"status":"ok","feature_x":"false"})
74: v1 ({"status":"ok","feature_x":"false"})
75: v1 ({"status":"ok","feature_x":"false"})
76: v1 ({"status":"ok","feature_x":"false"})
77: v1 ({"status":"ok","feature_x":"false"})
78: v1 ({"status":"ok","feature_x":"false"})
79: v1 ({"status":"ok","feature_x":"false"})
80: v1 ({"status":"ok","feature_x":"false"})
81: v1 ({"status":"ok","feature_x":"false"})
82: v1 ({"status":"ok","feature_x":"false"})
83: v1 ({"status":"ok","feature_x":"false"})
84: v1 ({"status":"ok","feature_x":"false"})
85: v1 ({"status":"ok","feature_x":"false"})
86: v1 ({"status":"ok","feature_x":"false"})
87: v1 ({"status":"ok","feature_x":"false"})
88: v1 ({"status":"ok","feature_x":"false"})
89: v1 ({"status":"ok","feature_x":"false"})
90: v1 ({"status":"ok","feature_x":"false"})
91: v1 ({"status":"ok","feature_x":"false"})
92: v1 ({"status":"ok","feature_x":"false"})
93: v1 ({"status":"ok","feature_x":"false"})
94: v1 ({"status":"ok","feature_x":"false"})
95: v1 ({"status":"ok","feature_x":"false"})
96: v1 ({"status":"ok","feature_x":"false"})
97: v2 ({"status":"ok","feature_x":"true"})
98: v1 ({"status":"ok","feature_x":"false"})
99: v1 ({"status":"ok","feature_x":"false"})
100: v1 ({"status":"ok","feature_x":"false"})
📊 Summary: v1=91, v2=9
(venv) vvolkovskiy@vvolkovskiy-ThinkPad-E15-Gen-3:~/src/msa-sprint2/tasks/task5$
